province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
,Brunei,2020-05-15,4.5353,114.7277,POINT(114.7277 4.5353),141,1,135,5,,,Brunei
,Burma,2020-05-15,21.9162,95.956,POINT(95.956 21.9162),182,6,89,87,,,Burma
,Cambodia,2020-05-15,11.55,104.9167,POINT(104.9167 11.55),122,0,122,0,,,Cambodia
,Indonesia,2020-05-15,-0.7893,113.9213,POINT(113.9213 -0.7893),16496,1076,3803,11617,,,Indonesia
,Laos,2020-05-15,19.856270000000002,102.495496,POINT(102.495496 19.85627),19,0,14,5,,,Laos
,Malaysia,2020-05-15,4.2104839999999992,101.97576600000001,POINT(101.975766 4.210484),6855,112,5439,1304,,,Malaysia
,Philippines,2020-05-15,12.879721,121.77401699999999,POINT(121.774017 12.879721),12091,806,2460,8825,,,Philippines
,Singapore,2020-05-15,1.2833,103.8333,POINT(103.8333 1.2833),26891,21,7248,19622,,,Singapore
,Thailand,2020-05-15,15.870032,100.992541,POINT(100.992541 15.870032),3025,56,2854,115,,,Thailand
,Timor-Leste,2020-05-15,-8.874217,125.727539,POINT(125.727539 -8.874217),24,0,24,0,,,Timor-Leste
,Vietnam,2020-05-15,14.058323999999999,108.277199,POINT(108.277199 14.058324),314,0,260,54,,,Vietnam
,Singapore,2020-03-08,1.2833,103.8333,POINT(103.8333 1.2833),150,0,78,,,,
,Malaysia,2020-03-08,2.5,112.5,POINT(112.5 2.5),99,0,24,,,,
,Thailand,2020-03-08,15.0,101.0,POINT(101 15),50,1,31,,,,
,Vietnam,2020-03-08,16.0,108.0,POINT(108 16),30,0,16,,,,
,Philippines,2020-03-08,13.0,122.0,POINT(122 13),10,1,1,,,,
,Indonesia,2020-03-08,-0.7893,113.9213,POINT(113.9213 -0.7893),6,0,0,,,,
,Cambodia,2020-03-08,11.55,104.9167,POINT(104.9167 11.55),2,0,1,,,,
,Brunei,2020-04-13,4.5353,114.7277,POINT(114.7277 4.5353),136,1,107,28,,,Brunei
,Burma,2020-04-13,21.9162,95.956,POINT(95.956 21.9162),62,4,2,56,,,Burma
,Cambodia,2020-04-13,11.55,104.9167,POINT(104.9167 11.55),122,0,77,45,,,Cambodia
,Indonesia,2020-04-13,-0.7893,113.9213,POINT(113.9213 -0.7893),4557,399,380,3778,,,Indonesia
,Laos,2020-04-13,19.856270000000002,102.495496,POINT(102.495496 19.85627),19,0,0,19,,,Laos
,Malaysia,2020-04-13,4.2104839999999992,101.97576600000001,POINT(101.975766 4.210484),4817,77,2276,2464,,,Malaysia
,Philippines,2020-04-13,12.879721,121.77401699999999,POINT(121.774017 12.879721),4932,315,242,4375,,,Philippines
,Singapore,2020-04-13,1.2833,103.8333,POINT(103.8333 1.2833),2918,9,586,2323,,,Singapore
,Thailand,2020-04-13,15.870032,100.992541,POINT(100.992541 15.870032),2579,40,1288,1251,,,Thailand
,Timor-Leste,2020-04-13,-8.874217,125.727539,POINT(125.727539 -8.874217),4,0,1,3,,,Timor-Leste
,Vietnam,2020-04-13,14.058323999999999,108.277199,POINT(108.277199 14.058324),265,0,146,119,,,Vietnam
,Brunei,2020-06-07,4.5353,114.7277,POINT(114.7277 4.5353),141,2,138,1,,,Brunei
,Burma,2020-06-07,21.9162,95.956,POINT(95.956 21.9162),242,6,156,80,,,Burma
,Cambodia,2020-06-07,11.55,104.9167,POINT(104.9167 11.55),126,0,123,3,,,Cambodia
,Indonesia,2020-06-07,-0.7893,113.9213,POINT(113.9213 -0.7893),31186,1851,10498,18837,,,Indonesia
,Laos,2020-06-07,19.85627,102.495496,POINT(102.495496 19.85627),19,0,18,1,,,Laos
,Malaysia,2020-06-07,4.2104839999999992,101.975766,POINT(101.975766 4.210484),8322,117,6674,1531,,,Malaysia
,Philippines,2020-06-07,12.879721,121.774017,POINT(121.774017 12.879721),21895,1003,4530,16362,,,Philippines
,Singapore,2020-06-07,1.2833,103.8333,POINT(103.8333 1.2833),37910,25,24886,12999,,,Singapore
,Thailand,2020-06-07,15.870032,100.992541,POINT(100.992541 15.870032),3112,58,2972,82,,,Thailand
,Timor-Leste,2020-06-07,-8.874217,125.727539,POINT(125.727539 -8.874217),24,0,24,0,,,Timor-Leste
,Vietnam,2020-06-07,14.058324,108.277199,POINT(108.277199 14.058324),331,0,307,24,,,Vietnam
,Brunei,2020-11-15,4.5353,114.7277,POINT(114.7277 4.5353),148,3,145,0,,,Brunei
,Burma,2020-11-15,21.9162,95.956,POINT(95.956 21.9162),68994,1577,52351,15066,,,Burma
,Cambodia,2020-11-15,11.55,104.9167,POINT(104.9167 11.55),302,0,289,13,,,Cambodia
,Indonesia,2020-11-15,-0.7893,113.9213,POINT(113.9213 -0.7893),467113,15211,391991,59911,,,Indonesia
,Laos,2020-11-15,19.85627,102.495496,POINT(102.495496 19.85627),24,0,23,1,,,Laos
,Malaysia,2020-11-15,4.2104839999999992,101.975766,POINT(101.975766 4.210484),47417,309,34785,12323,,,Malaysia
,Philippines,2020-11-15,12.879721,121.774017,POINT(121.774017 12.879721),407838,7832,374329,25677,,,Philippines
,Singapore,2020-11-15,1.2833,103.8333,POINT(103.8333 1.2833),58119,28,58029,62,,,Singapore
,Thailand,2020-11-15,15.870032,100.992541,POINT(100.992541 15.870032),3875,60,3721,94,,,Thailand
,Timor-Leste,2020-11-15,-8.874217,125.727539,POINT(125.727539 -8.874217),30,0,30,0,,,Timor-Leste
,Vietnam,2020-11-15,14.058324,108.277199,POINT(108.277199 14.058324),1281,35,1103,143,,,Vietnam
,Brunei,2020-10-23,4.5353,114.7277,POINT(114.7277 4.5353),148,3,143,2,,,Brunei
,Burma,2020-10-23,21.9162,95.956,POINT(95.956 21.9162),42365,1038,22445,18882,,,Burma
,Cambodia,2020-10-23,11.55,104.9167,POINT(104.9167 11.55),287,0,283,4,,,Cambodia
,Indonesia,2020-10-23,-0.7893,113.9213,POINT(113.9213 -0.7893),381910,13077,305100,63733,,,Indonesia
,Laos,2020-10-23,19.85627,102.495496,POINT(102.495496 19.85627),24,0,22,2,,,Laos
,Malaysia,2020-10-23,4.2104839999999992,101.975766,POINT(101.975766 4.210484),24514,214,15884,8416,,,Malaysia
,Philippines,2020-10-23,12.879721,121.774017,POINT(121.774017 12.879721),365799,6915,312691,46193,,,Philippines
,Singapore,2020-10-23,1.2833,103.8333,POINT(103.8333 1.2833),57951,28,57832,91,,,Singapore
,Thailand,2020-10-23,15.870032,100.992541,POINT(100.992541 15.870032),3731,59,3529,143,,,Thailand
,Timor-Leste,2020-10-23,-8.874217,125.727539,POINT(125.727539 -8.874217),29,0,28,1,,,Timor-Leste
,Vietnam,2020-10-23,14.058324,108.277199,POINT(108.277199 14.058324),1148,35,1049,64,,,Vietnam
,Brunei,2020-08-18,4.5353,114.7277,POINT(114.7277 4.5353),142,3,139,0,,,Brunei
,Burma,2020-08-18,21.9162,95.956,POINT(95.956 21.9162),376,6,331,39,,,Burma
,Cambodia,2020-08-18,11.55,104.9167,POINT(104.9167 11.55),273,0,251,22,,,Cambodia
,Indonesia,2020-08-18,-0.7893,113.9213,POINT(113.9213 -0.7893),143043,6277,96306,40460,,,Indonesia
,Laos,2020-08-18,19.85627,102.495496,POINT(102.495496 19.85627),22,0,19,3,,,Laos
,Malaysia,2020-08-18,4.210484,101.975766,POINT(101.975766 4.210484),9219,125,8902,192,,,Malaysia
,Philippines,2020-08-18,12.879721,121.774017,POINT(121.774017 12.879721),169213,2687,112861,53665,,,Philippines
,Singapore,2020-08-18,1.2833,103.8333,POINT(103.8333 1.2833),55938,27,52533,3378,,,Singapore
,Thailand,2020-08-18,15.870032,100.992541,POINT(100.992541 15.870032),3382,58,3199,125,,,Thailand
,Timor-Leste,2020-08-18,-8.874217,125.727539,POINT(125.727539 -8.874217),25,0,24,1,,,Timor-Leste
,Vietnam,2020-08-18,14.058324,108.277199,POINT(108.277199 14.058324),989,26,526,437,,,Vietnam
,Brunei,2020-05-18,4.5353,114.7277,POINT(114.7277 4.5353),141,1,136,4,,,Brunei
,Burma,2020-05-18,21.9162,95.956,POINT(95.956 21.9162),191,6,101,84,,,Burma
,Cambodia,2020-05-18,11.55,104.9167,POINT(104.9167 11.55),122,0,122,0,,,Cambodia
,Indonesia,2020-05-18,-0.7893,113.9213,POINT(113.9213 -0.7893),18010,1191,4324,12495,,,Indonesia
,Laos,2020-05-18,19.856270000000002,102.495496,POINT(102.495496 19.85627),19,0,14,5,,,Laos
,Malaysia,2020-05-18,4.2104839999999992,101.97576600000001,POINT(101.975766 4.210484),6941,113,5615,1213,,,Malaysia
,Philippines,2020-05-18,12.879721,121.77401699999999,POINT(121.774017 12.879721),12718,831,2729,9158,,,Philippines
,Singapore,2020-05-18,1.2833,103.8333,POINT(103.8333 1.2833),28343,22,9835,18486,,,Singapore
,Thailand,2020-05-18,15.870032,100.992541,POINT(100.992541 15.870032),3031,56,2857,118,,,Thailand
,Timor-Leste,2020-05-18,-8.874217,125.727539,POINT(125.727539 -8.874217),24,0,24,0,,,Timor-Leste
,Vietnam,2020-05-18,14.058323999999999,108.277199,POINT(108.277199 14.058324),324,0,263,61,,,Vietnam
,Brunei,2020-09-07,4.5353,114.7277,POINT(114.7277 4.5353),145,3,139,3,,,Brunei
,Burma,2020-09-07,21.9162,95.956,POINT(95.956 21.9162),1518,8,388,1122,,,Burma
,Cambodia,2020-09-07,11.55,104.9167,POINT(104.9167 11.55),274,0,273,1,,,Cambodia
,Indonesia,2020-09-07,-0.7893,113.9213,POINT(113.9213 -0.7893),196989,8130,140652,48207,,,Indonesia
,Laos,2020-09-07,19.85627,102.495496,POINT(102.495496 19.85627),22,0,21,1,,,Laos
,Malaysia,2020-09-07,4.2104839999999992,101.975766,POINT(101.975766 4.210484),9459,128,9124,207,,,Malaysia
,Philippines,2020-09-07,12.879721,121.774017,POINT(121.774017 12.879721),238727,3890,184906,49931,,,Philippines
,Singapore,2020-09-07,1.2833,103.8333,POINT(103.8333 1.2833),57044,27,56408,609,,,Singapore
,Thailand,2020-09-07,15.870032,100.992541,POINT(100.992541 15.870032),3446,58,3284,104,,,Thailand
,Timor-Leste,2020-09-07,-8.874217,125.727539,POINT(125.727539 -8.874217),27,0,25,2,,,Timor-Leste
,Vietnam,2020-09-07,14.058324,108.277199,POINT(108.277199 14.058324),1049,35,853,161,,,Vietnam
,Brunei,2020-07-13,4.5353,114.7277,POINT(114.7277 4.5353),141,3,138,0,,,Brunei
,Burma,2020-07-13,21.9162,95.956,POINT(95.956 21.9162),336,6,261,69,,,Burma
,Cambodia,2020-07-13,11.55,104.9167,POINT(104.9167 11.55),165,0,133,32,,,Cambodia
,Indonesia,2020-07-13,-0.7893,113.9213,POINT(113.9213 -0.7893),76981,3656,36689,36636,,,Indonesia
,Laos,2020-07-13,19.856270000000002,102.495496,POINT(102.495496 19.85627),19,0,19,0,,,Laos
,Malaysia,2020-07-13,4.2104839999999992,101.97576600000001,POINT(101.975766 4.210484),8725,122,8520,83,,,Malaysia
,Philippines,2020-07-13,12.879721,121.77401699999999,POINT(121.774017 12.879721),57006,1599,20371,35036,,,Philippines
,Singapore,2020-07-13,1.2833,103.8333,POINT(103.8333 1.2833),46283,26,42541,3716,,,Singapore
,Thailand,2020-07-13,15.870032,100.992541,POINT(100.992541 15.870032),3220,58,3090,72,,,Thailand
,Timor-Leste,2020-07-13,-8.874217,125.727539,POINT(125.727539 -8.874217),24,0,24,0,,,Timor-Leste
,Vietnam,2020-07-13,14.058323999999999,108.277199,POINT(108.277199 14.058324),373,0,352,21,,,Vietnam
,Brunei,2020-10-16,4.5353,114.7277,POINT(114.7277 4.5353),147,3,143,1,,,Brunei
,Burma,2020-10-16,21.9162,95.956,POINT(95.956 21.9162),33488,799,15477,17212,,,Burma
,Cambodia,2020-10-16,11.55,104.9167,POINT(104.9167 11.55),283,0,280,3,,,Cambodia
,Indonesia,2020-10-16,-0.7893,113.9213,POINT(113.9213 -0.7893),353461,12347,277544,63570,,,Indonesia
,Laos,2020-10-16,19.85627,102.495496,POINT(102.495496 19.85627),23,0,22,1,,,Laos
,Malaysia,2020-10-16,4.2104839999999992,101.975766,POINT(101.975766 4.210484),18758,176,12259,6323,,,Malaysia
,Philippines,2020-10-16,12.879721,121.774017,POINT(121.774017 12.879721),351750,6531,294865,50354,,,Philippines
,Singapore,2020-10-16,1.2833,103.8333,POINT(103.8333 1.2833),57901,28,57784,89,,,Singapore
,Thailand,2020-10-16,15.870032,100.992541,POINT(100.992541 15.870032),3679,59,3478,142,,,Thailand
